pick,round,team_key,player_key
114,12,414.l.1077375.t.4,414.p.25718
115,12,414.l.1077375.t.9,414.p.34007
116,12,414.l.1077375.t.10,414.p.31838
117,12,414.l.1077375.t.2,414.p.30115
118,12,414.l.1077375.t.8,414.p.28403
119,12,414.l.1077375.t.7,414.p.34019
120,12,414.l.1077375.t.6,414.p.33394
121,13,414.l.1077375.t.6,414.p.26658
122,13,414.l.1077375.t.7,414.p.31934
123,13,414.l.1077375.t.8,414.p.100027
124,13,414.l.1077375.t.2,414.p.33537
125,13,414.l.1077375.t.10,414.p.30247
126,13,414.l.1077375.t.9,414.p.33996
127,13,414.l.1077375.t.4,414.p.26664
128,13,414.l.1077375.t.5,414.p.31164
129,13,414.l.1077375.t.1,414.p.30971
130,13,414.l.1077375.t.3,414.p.33408
131,14,414.l.1077375.t.3,414.p.31012
132,14,414.l.1077375.t.1,414.p.100025
133,14,414.l.1077375.t.5,414.p.34107
134,14,414.l.1077375.t.4,414.p.33973
135,14,414.l.1077375.t.9,414.p.33138
136,14,414.l.1077375.t.10,414.p.33455
137,14,414.l.1077375.t.2,414.p.100018
138,14,414.l.1077375.t.8,414.p.30125
139,14,414.l.1077375.t.7,414.p.100011
140,14,414.l.1077375.t.6,414.p.100033
141,15,414.l.1077375.t.6,414.p.27540
142,15,414.l.1077375.t.7,414.p.34088
143,15,414.l.1077375.t.8,414.p.32858
144,15,414.l.1077375.t.2,414.p.32713
145,15,414.l.1077375.t.10,414.p.100007
146,15,414.l.1077375.t.9,414.p.32719
147,15,414.l.1077375.t.4,414.p.33443
148,15,414.l.1077375.t.5,414.p.100014
149,15,414.l.1077375.t.1,414.p.32788
150,15,414.l.1077375.t.3,414.p.31144
151,16,414.l.1077375.t.3,414.p.31074
152,16,414.l.1077375.t.1,414.p.30346
153,16,414.l.1077375.t.5,414.p.31977
154,16,414.l.1077375.t.4,414.p.31137
155,16,414.l.1077375.t.9,414.p.28390
156,16,414.l.1077375.t.10,414.p.30157
157,16,414.l.1077375.t.2,414.p.28402
158,16,414.l.1077375.t.8,414.p.33975
159,16,414.l.1077375.t.7,414.p.29288
160,16,414.l.1077375.t.6,414.p.27120
161,17,414.l.1077375.t.6,414.p.34009
162,17,414.l.1077375.t.7,414.p.34095
163,17,414.l.1077375.t.8,414.p.24793
164,17,414.l.1077375.t.2,414.p.31031
165,17,414.l.1077375.t.10,414.p.8432
166,17,414.l.1077375.t.9,414.p.34042
167,17,414.l.1077375.t.4,414.p.33971
168,17,414.l.1077375.t.5,414.p.26662
169,17,414.l.1077375.t.1,414.p.100021
170,17,414.l.1077375.t.3,414.p.9520
171,18,414.l.1077375.t.3,414.p.100009
172,18,414.l.1077375.t.1,414.p.34008
173,18,414.l.1077375.t.5,414.p.30142
174,18,414.l.1077375.t.4,414.p.100024
175,18,414.l.1077375.t.9,414.p.34047
176,18,414.l.1077375.t.10,414.p.33390
177,18,414.l.1077375.t.2,414.p.26813
178,18,414.l.1077375.t.8,414.p.29269
179,18,414.l.1077375.t.7,414.p.31538
180,18,414.l.1077375.t.6,414.p.31051
